SeriesID,RegionCode,2019,State,Region
MHICILBSC45001A052NCEN,45001,42758,SC,Abbeville County
MHICILBLA22001A052NCEN,22001,39822,LA,Acadia Parish
MHICILBVA51001A052NCEN,51001,42417,VA,Accomack County
MHICILBID16001A052NCEN,16001,69224,ID,Ada County
MHICILBIA19001A052NCEN,19001,51496,IA,Adair County
MHICILBMO29001A052NCEN,29001,39067,MO,Adair County
MHICILBKY21001A052NCEN,21001,33406,KY,Adair County
MHICILBOK40001A052NCEN,40001,35912,OK,Adair County
MHICILBWI55001A052NCEN,55001,48422,WI,Adams County
MHICILBPA42001A052NCEN,42001,63600,PA,Adams County
MHICILBCO08001A052NCEN,8001,72963,CO,Adams County
MHICILBMS28001A052NCEN,28001,30662,MS,Adams County
MHICILBND38001A052NCEN,38001,49287,ND,Adams County
MHICILBNE31001A052NCEN,31001,50150,NE,Adams County
MHICILBOH39001A052NCEN,39001,38270,OH,Adams County
MHICILBIA19003A052NCEN,19003,47378,IA,Adams County
MHICILBIN18001A052NCEN,18001,48635,IN,Adams County
MHICILBID16003A052NCEN,16003,44722,ID,Adams County
MHICILBIL17001A052NCEN,17001,52202,IL,Adams County
MHICILBWA53001A052NCEN,53001,47739,WA,Adams County
MHICILBVT50001A052NCEN,50001,69528,VT,Addison County
MHICILBSC45003A052NCEN,45003,51749,SC,Aiken County
MHICILBMN27001A052NCEN,27001,49113,MN,Aitkin County
MHICILBFL12001A052NCEN,12001,47507,FL,Alachua County
MHICILBNC37001A052NCEN,37001,54805,NC,Alamance County
MHICILBCA06001A052NCEN,6001,105354,CA,Alameda County
MHICILBCO08003A052NCEN,8003,34962,CO,Alamosa County
MHICILBWY56001A052NCEN,56001,47150,WY,Albany County
MHICILBNY36001A052NCEN,36001,65266,NY,Albany County
MHICILBVA51003A052NCEN,51003,81662,VA,Albemarle County
MHICILBMI26001A052NCEN,26001,38772,MI,Alcona County
MHICILBMS28003A052NCEN,28003,39778,MS,Alcorn County
MHICILBAK02013A052NCEN,2013,58706,AK,Aleutians East Borough
MHICILBAK02016A052NCEN,2016,75414,AK,Aleutians West CA
MHICILBNC37003A052NCEN,37003,49300,NC,Alexander County
MHICILBIL17003A052NCEN,17003,32871,IL,Alexander County
MHICILBVA51510A052NCEN,51510,98932,VA,Alexandria City
MHICILBOK40003A052NCEN,40003,51836,OK,Alfalfa County
MHICILBMI26003A052NCEN,26003,46114,MI,Alger County
MHICILBIA19005A052NCEN,19005,50733,IA,Allamakee County
MHICILBMI26005A052NCEN,26005,62669,MI,Allegan County
MHICILBMD24001A052NCEN,24001,44176,MD,Allegany County
MHICILBNY36003A052NCEN,36003,46772,NY,Allegany County
MHICILBNC37005A052NCEN,37005,36692,NC,Alleghany County
MHICILBVA51005A052NCEN,51005,48681,VA,Alleghany County
MHICILBPA42003A052NCEN,42003,63447,PA,Allegheny County
MHICILBIN18003A052NCEN,18003,54706,IN,Allen County
MHICILBKS20001A052NCEN,20001,41862,KS,Allen County
MHICILBKY21003A052NCEN,21003,42543,KY,Allen County
MHICILBOH39003A052NCEN,39003,54137,OH,Allen County
MHICILBLA22003A052NCEN,22003,41585,LA,Allen Parish
MHICILBSC45005A052NCEN,45005,28732,SC,Allendale County
MHICILBMI26007A052NCEN,26007,39884,MI,Alpena County
MHICILBCA06003A052NCEN,6003,50969,CA,Alpine County
MHICILBCA06005A052NCEN,6005,58769,CA,Amador County
MHICILBVA51007A052NCEN,51007,52946,VA,Amelia County
MHICILBVA51009A052NCEN,51009,50217,VA,Amherst County
MHICILBMS28005A052NCEN,28005,36546,MS,Amite County
MHICILBAK02020A052NCEN,2020,79074,AK,Anchorage Muny
MHICILBKY21005A052NCEN,21005,54290,KY,Anderson County
MHICILBSC45007A052NCEN,45007,50899,SC,Anderson County
MHICILBKS20003A052NCEN,20003,45083,KS,Anderson County
MHICILBTN47001A052NCEN,47001,46548,TN,Anderson County
MHICILBTX48001A052NCEN,48001,42968,TX,Anderson County
MHICILBMO29003A052NCEN,29003,55750,MO,Andrew County
MHICILBTX48003A052NCEN,48003,65964,TX,Andrews County
MHICILBME23001A052NCEN,23001,54779,ME,Androscoggin County
MHICILBTX48005A052NCEN,48005,48269,TX,Angelina County
MHICILBMD24003A052NCEN,24003,98919,MD,Anne Arundel County
MHICILBMN27003A052NCEN,27003,81032,MN,Anoka County
MHICILBNC37007A052NCEN,37007,36036,NC,Anson County
MHICILBNE31003A052NCEN,31003,46161,NE,Antelope County
MHICILBMI26009A052NCEN,26009,54199,MI,Antrim County
MHICILBAZ04001A052NCEN,4001,31631,AZ,Apache County
MHICILBIA19007A052NCEN,19007,37443,IA,Appanoose County
MHICILBGA13001A052NCEN,13001,38478,GA,Appling County
MHICILBVA51011A052NCEN,51011,48152,VA,Appomattox County
MHICILBTX48007A052NCEN,48007,48531,TX,Aransas County
MHICILBCO08005A052NCEN,8005,79757,CO,Arapahoe County
MHICILBTX48009A052NCEN,48009,56307,TX,Archer County
MHICILBCO08007A052NCEN,8007,51206,CO,Archuleta County
MHICILBMI26011A052NCEN,26011,40247,MI,Arenac County
MHICILBAR05001A052NCEN,5001,48552,AR,Arkansas County
MHICILBVA51013A052NCEN,51013,115118,VA,Arlington County
MHICILBTX48011A052NCEN,48011,57335,TX,Armstrong County
MHICILBPA42005A052NCEN,42005,53240,PA,Armstrong County
MHICILBME23003A052NCEN,23003,37613,ME,Aroostook County
MHICILBNE31005A052NCEN,31005,40991,NE,Arthur County
MHICILBLA22005A052NCEN,22005,76884,LA,Ascension Parish
MHICILBNC37009A052NCEN,37009,37897,NC,Ashe County
MHICILBOH39005A052NCEN,39005,48557,OH,Ashland County
MHICILBWI55003A052NCEN,55003,42492,WI,Ashland County
MHICILBAR05003A052NCEN,5003,43096,AR,Ashley County
MHICILBOH39007A052NCEN,39007,42951,OH,Ashtabula County
MHICILBWA53003A052NCEN,53003,49802,WA,Asotin County
MHICILBLA22007A052NCEN,22007,46409,LA,Assumption Parish
MHICILBTX48013A052NCEN,48013,52194,TX,Atascosa County
MHICILBKS20005A052NCEN,20005,46052,KS,Atchison County
MHICILBMO29005A052NCEN,29005,45949,MO,Atchison County
MHICILBOH39009A052NCEN,39009,39425,OH,Athens County
MHICILBGA13003A052NCEN,13003,33940,GA,Atkinson County
MHICILBNJ34001A052NCEN,34001,59856,NJ,Atlantic County
MHICILBOK40005A052NCEN,40005,37345,OK,Atoka County
MHICILBMS28007A052NCEN,28007,32581,MS,Attala County
MHICILBMO29007A052NCEN,29007,41716,MO,Audrain County
MHICILBIA19009A052NCEN,19009,47251,IA,Audubon County
MHICILBOH39011A052NCEN,39011,60769,OH,Auglaize County
MHICILBVA51015A052NCEN,51015,58946,VA,Augusta County
MHICILBSD46003A052NCEN,46003,50303,SD,Aurora County
MHICILBTX48015A052NCEN,48015,62391,TX,Austin County
MHICILBAL01001A052NCEN,1001,52517,AL,Autauga County
MHICILBNC37011A052NCEN,37011,42286,NC,Avery County
MHICILBLA22009A052NCEN,22009,33722,LA,Avoyelles Parish
MHICILBCO08009A052NCEN,8009,34251,CO,Baca County
MHICILBGA13005A052NCEN,13005,37266,GA,Bacon County
MHICILBTX48017A052NCEN,48017,40916,TX,Bailey County
MHICILBFL12003A052NCEN,12003,55713,FL,Baker County
MHICILBOR41001A052NCEN,41001,45512,OR,Baker County
MHICILBGA13007A052NCEN,13007,34683,GA,Baker County
MHICILBGA13009A052NCEN,13009,39311,GA,Baldwin County
MHICILBAL01003A052NCEN,1003,54593,AL,Baldwin County
MHICILBKY21007A052NCEN,21007,42262,KY,Ballard County
MHICILBMD24005A052NCEN,24005,74122,MD,Baltimore County
MHICILBMD24510A052NCEN,24510,47914,MD,Baltimore City
MHICILBSC45009A052NCEN,45009,31080,SC,Bamberg County
MHICILBTX48019A052NCEN,48019,53549,TX,Bandera County
MHICILBGA13011A052NCEN,13011,49240,GA,Banks County
MHICILBNE31007A052NCEN,31007,48039,NE,Banner County
MHICILBID16005A052NCEN,16005,49019,ID,Bannock County
MHICILBMI26013A052NCEN,26013,44789,MI,Baraga County
MHICILBKS20007A052NCEN,20007,44525,KS,Barber County
MHICILBAL01005A052NCEN,1005,31822,AL,Barbour County
MHICILBWV54001A052NCEN,54001,35327,WV,Barbour County
MHICILBND38003A052NCEN,38003,54410,ND,Barnes County
MHICILBMA25001A052NCEN,25001,78854,MA,Barnstable County
MHICILBSC45011A052NCEN,45011,32724,SC,Barnwell County
MHICILBKY21009A052NCEN,21009,40298,KY,Barren County
MHICILBWI55005A052NCEN,55005,50433,WI,Barron County
MHICILBGA13013A052NCEN,13013,65084,GA,Barrow County
MHICILBMI26015A052NCEN,26015,63632,MI,Barry County
MHICILBMO29009A052NCEN,29009,42861,MO,Barry County
MHICILBIN18005A052NCEN,18005,66643,IN,Bartholomew County
MHICILBMO29011A052NCEN,29011,41262,MO,Barton County
MHICILBKS20009A052NCEN,20009,45830,KS,Barton County
MHICILBGA13015A052NCEN,13015,55803,GA,Bartow County
MHICILBTX48021A052NCEN,48021,55619,TX,Bastrop County
MHICILBMO29013A052NCEN,29013,43486,MO,Bates County
MHICILBVA51017A052NCEN,51017,48413,VA,Bath County
MHICILBKY21011A052NCEN,21011,37645,KY,Bath County
MHICILBAR05005A052NCEN,5005,39449,AR,Baxter County
MHICILBMI26017A052NCEN,26017,47365,MI,Bay County
MHICILBFL12005A052NCEN,12005,55318,FL,Bay County
MHICILBWI55007A052NCEN,55007,54157,WI,Bayfield County
MHICILBTX48023A052NCEN,48023,36460,TX,Baylor County
